citynames
A. Nagar
A.S.Peta
Aathipatti
Aatingal
Aatthur
Abd (airport)
Abiramam
Abohar
Abu
Abu Road
Achalpur(MH)
Achampet
Achanta
Adda Road
Addanki
Adesar
Adhiramapattinam
Adichunchanagiri
Adilabad
Adipur
Adirampattinam
Adoni
Adoor
Adul
Aduthurai
Afzalpur 
Agar
Agara
Agartala
Agra
Agumbe
AHEMDABAD
Aheri(MH)
Ahmadnagar
Ahmedabad
Ahmednagar
Ahmedpur
Ahore
Ainapur Belgaum Dist.
Airoli
Ajanta
Ajekar
Ajmer
Akbarpur
Akivedu
Akkalkot
Akkalkuva
Akkialur
Akola
Akolali-Jaliya
Akolawadi
Akot
Alagiyamandapam
Alakode
Alamuru
Aland
Alangaru
Alangudi
Alangulam(Tirunelveli)
Alappuzha
Alathur(Kerala)
Aldur
Alibagh
Aligarh
Alike
Allagadda
Allahabad
Alleppey Package
Alleppy
Alluru
Almatti
Aluru
Aluva
Alwar
Alwarkurichi
Alwarthirunagari
Alwaye
Amadalavalasa
Amalapuram
Amalner
Amaravathi(MH)
Amareshwar Camp
Amba
Ambaji
Ambajipeta
Ambajogai
Ambala
ambalapuzha
Ambarnath
Ambasamutram
Ambavali
Ambikapur
Ambur
Amdapur
Amet
Amingad
Amliya
Ammapattinam
Ammathi
Ampar
Amreli
Amritsar
Amruthalur
Anagola
Anakapalli
Anakapalli ByePass
Anakara
Anampally
Anand
Anand Vihar
Anandur
Anantapur By-pass(AP)
Anantapur(AP)
Ananthapalli
Anaparthi
Anathavaram
Anavatti
Andalur Gate
Anegudde
Anekal
Angalakuduru
Angallu
Angamali
Angamaly
Angul
Anjangaon
Anjani
Anjar
Ankaleshwar
Ankali
Ankleshwar
Ankleshwar Bypass
Ankola
Ankolvadi
Anmod
AnnambhotlavariPalem
Annavaram
Annavarapadu
Annur
Anupgarh
Aousa
Appapuram
Appikatla
Arakalgudu
Arakera
Aralikottai
Aralvaimozhi
Aranthangi
Araria
Araria Zeromile
Arasikere
Aravakurichi
Aravali
Ardavaram
Ardhapur
Areekode
Arehole
Armoor
Arni
Arni (mh)
Aroor
Arsikere
Arumuganeri
Aruppukottai
Aruppukottai By Pass
Arvi
Aryankav
Asansol
Ashta
Ashti
Asifabad
Asind
Aska
Asperi
Aswapuram
Aswaraopet
Athani(Karnataka)
Athiyuthu
Atmakur Kurnool
Atmakur Nellore
Atpadi
