"operator","id"
"Attur Agro Chemical Industries",243
"Auodumbar Travels",244
"Avadh Travels",245
"Avadhoot Travels",246
"Avk   Travels",247
"Avr Travels",248
"Avrmv",249
"Avs  Travels",250
"Awadh Travels India Regd",251
"Azeem Tours And Travels",252
"Azeem Travels",253
"Azul Transports",254
"B K Travels",255
"B R Travels",256
"B S Holiday Travels",257
"Baba Baidynath Travels",258
"Baba Deep Singh Travels (Amritsar)",259
"Baba Travels",260
"Baba Travels",261
"Babai Tour And Travels",262
"Babu  Travels",263
"Babu Travels Indore",264
"Baglamukhi Holidays",265
"Baikuntha Travels(Under Astc)",266
"Bajrang Shreeji Travels",267
"Balaji Bus Service",268
"Balaji Cabs",269
"Balaji Travels",270
"Balaji    Travels",271
"Balaji     Travels",272
"Balaji       Travels",273
"Balaji Travels India Regd",274
"Baldev  Travels",275
"Balmukund Travels",276
"Balumama Travels",277
"Banjara Satguru  Travels",278
"Bansidhar Travels",279
"Bapa Sitaram Travels",280
"Barbie Travels",281
"Barde Roadlines",282
"Barkha Travels",283
"Barkoti Travels Sagar",284
"Barmer Travels",285
"Basu Travels",286
"Bcc Travels",287
"Bedi Holidays",288
"Bedi  Travels",289
"Bengal Surface Transport",290
"Bengal  Tiger",291
"Beniwal Travels",292
"Best Travels",293
"Bethlehem  Transports",294
"Betwa Tourist Bus Service",295
"Bfc Holidays",296
"Bg Travels",297
"Bgs  Travels",298
"Bhadoriya Travels",299
"Bhagwath Travels",300
"Bhagwati Travels",301
"Bhagwati Travels",302
"Bhagya Shree Tour And Travel",303
"Bhagyalaxmi  Travels",304
"Bhagyalaxmi   Travels",305
"Bhagyashri Tours And Travels",306
"Bhakti Tours And Travels",307
"Bhambhu Travels",308
"Bharat Express",309
"Bharat Paryatan (Patliputra Services)",310
"Bharat Travels",311
"Bharat Yatra Bus",312
"Bharath Tour And Travels",313
"Bharathi Holidays",314
"Bharathi Tourist",315
"Bharathi  Tours And Travels",316
"Bharathi  Travels",317
"Bharuka Travels",318
"Bhavana Tours And Travels",319
"Bhavya Tours And Travels",320
"Bhawani Travels",321
"Bhawani Travels (Jpr)",322
"Bhawani Travels (Shiv Shakti)",323
"Bholanath Travels (Under Astc)",324
"Bholenath Travels",325
"Bhopal  Travels",326
"Bhumi Travels",327
"Bhupatinath Travels",328
"Bhutadaj Shriphal Travels",329
"Bibek Travels",330
"Bigbus",331
"Bihar State Road Transport Corporation (Bsrtc)",332
"Bihar State Tourism Development Corporation (Bstdc)",333
"Bijay Bus Service",334
"Bijoyatra Travels",335
"Bilal Tours And Travels",336
"Bis Travels",337
"Bishnupriya Travels",338
"Black Oasis Tours And Travels",339
"Blossom Travels",340
"Blue Bird Travels",341
"Blue Birds Travels",342
"Blue Heaven Tour And Travels",343
"Blue Hill Travels India Ltd",344
"Blue Hills Travels",345
"Blue Horse Travels",346
"Blue Moon Travels",347
"Blue  Mount Travels",348
"Blue World Tourist Company",349
"Blueworld Tourist Private Limited",350
"Bms Travels",351
"Bnr Travels",352
"Bol Bum Travel",353
"Bombay Safari",354
"Bombay Travels",355
"Boom Shankar Tour And Travels",356
"Boys Travels",357
"Brahmaputra (Simran)",358
"Brahmaputra Travels",359
"Brham Tour And Travels",360
"Bright Jabbar Travels",361
"Brl Travels",362
"Brp Travels",363
"Brs Travels",364
"Bsp Bus",365
"Bsp Travels",366
"Bsr Travels",367
"Bsrtc Operated By Vip Travels",368
"Bstc Volvo",369
"Btm   Travels",370
"Bts Bundelkhand Transport Services Llp",371
"Btt Bundelkhand Tours And Travels",372
"Bulbul  Travels",373
"Bullet Bus",374
"Bundelkhand Motar Transport Company",375
"Buniyadi Travels",376
"Bus Plus Services",377
"Bvr Travels",378
"C M Travels",379
"Cab India Travels",380
"Cabs Den Private Ltd",381
"Canara Pinto  Travels",382
"Canara   Tourist",383
"Canara  Travels",384
"Cape Town Travels",385
"Capital Tours India Pvt. Ltd.",386
"Capital Travels",387
"Carnival Holidays  Mumbai",388
"Cashless Tours And Travels",389
"Cauvery  Travels",390
"Ccr Travels",391
"Cee Jay Trans",392
"Cgr  Travels",393
"Chachan Travels",394
"Chain Inter State Service Agency",395
"Chakadola Travels",396
"Chalantika Tours Private Limited",397
"Challenger",398
"Champaty Travels",399
"Chamunda Tour And Travel",400
"Chanakya Travels",401
"Chanchal  Travel",402
"Chandana Holidays",403
"Chandana Travels",404
"Chandra And Bhawani Travels",405
"Chandra Kripa Travels",406
"Chandra Travel Singhana",407
"Chandralok Travels",408
"Chandramukhi Travels",409
"Chandu Sri Srinivasa Travels",410
"Chandu Travels",411
"Charminar Travels",412
"Chartered Bus",413
"Charu Tours And Travels",414
"Chaturvedi Bus Service",415
"Chaturvedi Travels",416
"Chetak Travelling Agency",417
"Chhabra Bus Service",418
"Chhabra   Travel",419
"Chhabra Travels",420
"Chinmayee Travels",421
"Chintamani Travels",422
"Chintamani Travels Jalna",423
"Chirag Maa Vaishno Travels",424
"Chirag Tours And Travels Agency Yatra Company",425
"Chirag Travels",426
"Chirag  Travels Agency",427
"Chirag Travels Co",428
"Chitale Tours And Travels",429
"Choice Tours And Travels",430
"Choudhary Bus Service",431
"Choudhary Tour Service",432
"Choudhary Travels",433
"Chouhan Tour And Travel",434
"Chouhan Travels",435
"Chouhan Travels And Cargo",436
"Chowdhury Travels",437
"Citi Tours",438
"Citizen Travel Mumbai",439
"Citizen Travels",440
"Citizen    Travels",441
"Citizen Travels Gwalior",442
"Citizen Travels  Pune",443
"City Express",444
"City  Express  Travels",445
"City Express Travels (Trichy)",446
"City Heart Travels(Regd.)",447
"City  Land  Travels",448
"City Travels",449
"Citylink   Travels",450
"Cmr Express",451
"Comfort Tours And Travels",452
"Conti  Travels",453
"Cool Cool Tour And Travels",454
"Cool Cool Travels",455
"Cool Himachal Tour And Travels",456
"Corporate Travels",457
"Country Line Travels And Cargo",458
"Covai Express Tours And Travels",459
"Crescent Tours And Travels",460
"Crl Travels",461
"Khusboo Travels",462
"Csk  Travels",463
"Ctc Prince Travels",464
"Ctc Travels",465
"Ctc Travels Chn",466
"Cts  Travels And  Tours",467
"Cumbum Travels Vaigai",468
"Cvr Travels",469
"Cvt Bus",470
"D And S Enterprise",471
"D K Travels",472
"Dadar Travels   Mumbai",473
"Dadi Maa  Travels",474
"Dadimaa Travels",475
"Daily Transport Service",476
"Dakshin Roadlines",477
"Damayanti Service",478
"Damodar Tours And Travels",479
"Darbar Travels",480
"Darshana Travels",481
"Das And Das Bus  Service",482
"Das Travels",483
"Dashmesh Travels (P) Ltd",484
"Datta Krupatravels",485
"Daughters Of Ashok Tour And Travels",486
"Daukiya Travels",487
"Dax Travels",488
"Dayan And Company",489
"Deccan Tours And Travels",490
"Deccan Travels",491
"Deenu Tours And Travel",492
"Deep       Travels",493
"Deep     Travels",494
"Deep Tours And Travels",495
"Deepak Tour And Travels",496
"Deepak Transport Company",497
"Deepak Travels",498
"Deepam Travels",499
"Deepika Tours And Travels",500
"Deepna Travels",501
"Deepthi Travels",502
"Delhi Heart Vikas Travels",503
"Delhi Tours And Travels",504
"Delta Travels",505
"Deluxe Bus Service (Regd.)",506
"Dev Lines",507
"Dev Tour And Travels",508
"Dev Travels",509
"Devaki Travels",510
"Deval Travels",511
"Devi Krupa Travels",512
"Devkrupa Travels",513
"Dhakad Travels",514
"Dhan Ji Travels",515
"Dhanalakshmi Travels",516
"Dhanam Travels",517
"Dhanu S Travels",518
"Dhanunjaya Bus",519
"Dhanunjaya Travels",520
"Dhanush Tours And Travels",521
"Dharani Tours And Travels",522
"Dhariwal Harsh Travels",523
"Dhariwal    Travels",524
